,dt,type,query
69,2025-06-21 08:38:21,elderly,"I am Elderly (Senior) with a family of 7, who need financial assistanec "
70,2025-07-19 06:24:56,financial assistance,I'm worried about the cost of training courses. How can I afford to upskill?
71,2025-07-19 04:44:43,financial assistance,Is there any help with paying for home internet or broadband for students?
72,2025-07-22 15:11:06,counselling and emotional support,client needs mandarin counselling hotline
73,2025-07-19 04:59:04,financial assistance,I'm 45 and just lost my retail job. I live alone in a small flat and can't pay for food or utilities this month.
74,2025-07-30 22:03:59,counselling and emotional support,I am Ex-Offender or Incarcerated Individual looking for Financial Assistance Programs that offers Financial Assistance
75,2025-07-19 05:13:26,family,"I'm 68, living alone in a rental flat. No children or family support, and my savings are all used up."
76,2025-05-27 06:44:56,housing,assistance for buying and selling flat
77,2025-07-26 07:14:00,financial assistance,I am looking for scheme that offers Housing Assistance
78,2025-06-06 03:41:17,elderly,I am Elderly (Senior) looking for Transport Services that offers Housing Assistance
79,2025-08-19 02:56:30,counselling and emotional support,I am Facing End-of-Life or Terminal Illness looking for Legal Aid Services that offers Legal Aid Services
80,2025-06-19 07:50:44,mental health,"I am Child or Youth looking for Mental Health Support, teen support"
81,2025-08-01 01:37:37,counselling and emotional support,i am a youth offender who needs rehab intervention
82,2025-05-22 04:13:25,family,I am Ex-Offender or Incarcerated Individual looking for Shelter Services that offers Social Work Services
83,2025-06-03 09:21:18,family,I am Woman in Need of Support looking for Social Work & Casework that offers Social Work Services for domestic violence
84,2025-07-19 05:42:07,financial assistance,Do I have to declare my child's CDA savings if I apply for ComCare?
85,2025-06-17 08:50:24,low income,free meal
86,2025-07-18 15:08:49,counselling and emotional support,My husband passed away recently. I'm 58 and living in our HDB flat alone. I don’t know how to transfer ownership and I’m worried about bills since I have no steady income.
87,2025-08-09 06:21:42,counselling and emotional support,I am Experiencing Abuse or Violence looking for Shelter Services that offers Legal Aid Services
88,2025-08-06 02:57:40,persons with disabilities (pwd),I am Person with Disabilities or Special Needs looking for Transport Services that offers Transport Mobility Support
89,2025-07-18 15:23:11,financial assistance,I quit my job to care full-time for my elderly mother with dementia. We have no other income. What support can I get?
90,2025-06-13 11:25:33,mental health,I am Child or Youth looking for Mental Health Support
91,2025-07-18 15:51:52,financial assistance,Is there any subsidy for dental treatment?
92,2025-07-18 15:44:43,financial assistance,How does the CHAS card work for clinic bills?
93,2025-07-13 08:48:19,financial assistance,I am looking for Housing Assistance
94,2025-07-29 03:35:52,counselling and emotional support,I am a PWD.
95,2025-07-07 01:45:57,counselling and emotional support,I am a pregnant teenager
96,2025-06-06 03:27:09,ex-offender,I am Ex-Offender or Incarcerated Individual looking for Education Programs that offers Transport Mobility Support
97,2025-06-04 01:20:41,elderly,Hello
98,2025-07-03 08:53:04,elderly,I am Elderly (Senior) looking for Food Support that offers Disability Support
99,2025-05-15 04:29:03,elderly,"- client married to wife
- wife is currently suspected to have dementia 
- client is facing caregiver burnout and emotional distress about wife's cognitive decline 
- free services would be better"
100,2025-05-28 01:21:51,mental health,I need counseling services and live in Banda street
101,2025-05-18 18:37:21,low income,I am Low-Income Individual or Family looking for Housing Assistance that offers Financial Assistance
102,2025-05-15 04:07:37,mental health,I am Facing Mental Health Challenges. need free counselling sessions for depression.
103,2025-06-09 06:22:36,elderly,I am an elderly needing financial support
104,2025-06-11 02:31:10,mental health,I am Child or Youth looking for Mental Health Support that offers Mental Health Support
105,2025-05-18 18:44:32,elderly,I am Parent or Family Member looking for Employment Assistance that offers Caregiver Assistance
106,2025-06-19 09:38:21,elderly,I am a stroke survivor looking for home ownership 
107,2025-06-06 03:41:33,youth,I am Child or Youth
108,2025-06-15 10:33:13,mental health,I am Facing Mental Health Challenges looking for Mental Health Support that offers Caregiver Assistance
109,2025-06-03 02:19:14,elderly,I am Elderly (Senior) looking for Housing Assistance that offers Food Support
110,2025-07-18 02:01:40,counselling and emotional support,我不要回家
111,2025-07-18 16:20:42,financial assistance,What's the difference between CHAS and MediSave?
112,2025-05-27 05:12:13,family,I am Low-Income Individual or Family looking for Healthcare Services that offers Legal Aid Services
113,2025-07-19 05:56:45,counselling and emotional support,I want to get clean but I'm scared. I don't know where to start.
114,2025-07-19 06:18:14,family,I'm a single mum with a toddler. I feel so stressed trying to do everything alone.
115,2025-06-16 11:00:46,family,I am Child or Youth looking for Social Work & Casework
116,2025-08-01 01:37:59,counselling and emotional support,I am Facing Mental Health Challenges looking for Mental Health Support that offers Mental Health Support
117,2025-07-22 15:25:54,counselling and emotional support,client needs mental health help and wants a service nearest to 312062
118,2025-08-01 01:59:29,financial assistance,I need financial assistance for school fees
119,2025-07-19 05:06:42,counselling and emotional support,I'm over 65 and someone told me I can get Silver Support. Do I have to apply?
120,2025-07-22 09:28:00,counselling and emotional support,client needs mandarin hotline counselling
121,2025-05-13 05:57:33,family,I am Low-Income Individual or Family and i need daycare services
122,2025-07-18 15:30:41,education support,My son is starting Primary 1 next year. I'm really worried about how to pay for all the school expenses.
123,2025-05-15 03:53:31,mental health,free mental health services for 32 year old with depression. living in toa payoh. 
124,2025-07-22 08:16:28,elderly,I am Elderly (Senior) looking for Social Work & Casework
125,2025-06-04 01:20:58,low income,Looking for financial help for kids
126,2025-07-19 04:38:08,financial assistance,I just had a baby and need help paying for baby items.
127,2025-07-22 02:40:04,counselling and emotional support,Family violence support
128,2025-06-11 08:22:10,low income,I am Low-Income Individual or Family looking for Education Programs that offers Education Opportunities
129,2025-07-27 06:16:02,financial assistance,I am Elderly (Senior) looking for scheme that offers Financial Assistance
130,2025-05-13 02:15:42,low income,I am Low-Income Individual or Family need money
131,2025-06-03 02:12:17,low income,Looking for financial assistance 
132,2025-05-15 01:30:24,mental health,I am Dealing with Addictions or Recovery. where can i find help?
133,2025-05-14 07:15:11,low income,can you speak tamil
134,2025-06-07 06:53:53,mental health,I am pregnant and I am a man
135,2025-07-19 04:45:21,counselling and emotional support,I'm a caregiver for my bedridden father. I can't work because he needs help all day.
136,2025-07-22 13:24:21,financial assistance,I am Person with Disabilities or Special Needs looking for Housing Assistance
137,2025-07-12 06:05:14,counselling and emotional support,remote jobs
138,2025-05-18 10:45:13,elderly,I am in need of elderly care but no live in
139,2025-07-19 06:25:35,financial assistance,I want to take online courses but I'm not sure if SkillsFuture covers them.
140,2025-07-22 08:59:31,counselling and emotional support,I need manadarin counselling
141,2025-06-19 02:43:29,family,I am Woman in Need of Support looking for Employment Assistance that offers Employment Support
142,2025-08-22 01:56:15,financial assistance,I am foreigner child enrolling in P1 in 2026 from a transnational family looking for education fee assistance 
143,2025-05-25 08:42:25,low income,I am looking for Housing Assistance
144,2025-06-11 23:38:33,family,I am Child or Youth looking for Financial Assistance Programs that offers Social Work Services
145,2025-07-11 09:55:34,financial assistance,aspiring entrepreneur grants available
146,2025-08-08 04:36:02,counselling and emotional support,i am a caregiver for a son with autism. i need support
147,2025-06-03 00:53:40,homelessness support,Shelter for single
148,2025-07-20 07:28:54,financial assistance,i need money
149,2025-06-11 05:37:42,low income,I am Low-Income Individual or Family looking for Education Programs that offers Financial Assistance
150,2025-06-06 03:27:38,healthcare,I am Migrant or Foreign Worker looking for Healthcare Services that offers Housing Assistance
151,2025-06-28 02:54:24,elderly,I am Elderly (Senior) looking for Healthcare Services that offers Financial Assistance
152,2025-06-03 03:16:54,mental health,I am Facing Mental Health Challenges looking for Mental Health Support that offers Mental Health Support
153,2025-07-18 15:45:15,financial assistance,I'm self-employed as a hawker with very irregular income. I worry about my CPF and medical costs.
154,2025-07-22 09:13:58,counselling and emotional support,I am Low-Income Individual or Family looking for scheme that offers Legal Aid Services
155,2025-08-23 02:45:16,counselling and emotional support,I am Child or Youth looking for Employment Assistance that offers Employment Support
156,2025-06-06 04:53:34,ex-offender,I am Ex-Offender or Incarcerated Individual looking for Mental Health Support that offers Mental Health Support befriend
157,2025-06-29 05:23:33,low income,where can i find the list of technology initiatives for social causes
158,2025-07-26 12:29:40,financial assistance,I am looking for scheme that offers Food Support
159,2025-07-18 16:06:47,financial assistance,How do I get Workfare? I'm working part-time and my pay is very low.
160,2025-08-19 14:17:16,family,I am Parent or Family Member
161,2025-06-19 08:20:06,healthcare,i want a dialysis center near me
162,2025-06-03 02:12:32,ex-offender,I am Ex-Offender or Incarcerated Individual looking for Financial Assistance Programs that offers Financial Assistance
163,2025-06-07 04:38:07,family,I am looking for Shelter Services
164,2025-07-18 15:52:30,financial assistance,I'm a 35-year-old single mother working part-time and also studying. My pay is too low to cover everything. Can I get any help?
165,2025-05-13 02:15:59,healthcare,hgello
166,2025-08-19 09:31:04,financial assistance,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Financial Assistance
167,2025-07-22 08:59:45,counselling and emotional support,client needs mandarin counselling hotline
168,2025-07-18 16:21:09,financial assistance,Where do I go to apply for ComCare?
169,2025-07-19 04:52:47,financial assistance,I'm a single mother of two primary school kids. I just lost my retail job and don't know how I'll pay for their school needs or daily expenses.
170,2025-05-20 06:03:57,family,I am Child or Youth looking for Family Support Services that offers Social Work Services
171,2025-06-20 06:53:05,low income,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Financial Assistance
172,2025-05-15 03:53:54,mental health,"25 year old male experiencing post trauma stress disorder symtoms, can you recommend a counselling centre near toa payoh"
173,2025-07-22 15:19:12,counselling and emotional support,client in 40s looking for free mental health help i ntoa payoh
174,2025-08-08 06:30:50,financial assistance,i am a cancer patient in need of financial assistance
175,2025-07-13 11:55:10,counselling and emotional support,Student Care Centre
176,2025-06-03 02:12:42,ex-offender,Befrienders for offenders
177,2025-06-03 02:12:43,low income,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Financial Assistance
178,2025-07-19 05:07:14,counselling and emotional support,"I take care of my wife and our young child, but I earn so little it's hard to pay for everything. What help can I get?"
179,2025-06-03 09:22:14,elderly,I am Elderly (Senior) looking for Disability Support Services that offers Disability Support
180,2025-05-25 05:29:32,low income,I am looking for Housing Assistance
181,2025-06-07 04:24:00,mental health,I am Child or Youth looking for Mental Health Support
182,2025-07-29 02:53:42,counselling and emotional support,Im looking for a family service centre
183,2025-07-12 15:38:20,counselling and emotional support,counselling therapy for teenager
184,2025-06-17 15:17:52,low income,I am looking for scheme that offers Housing Assistance
185,2025-06-11 10:02:52,family,I am Ex-Offender or Incarcerated Individual looking for Addiction Recovery Services
186,2025-05-16 13:47:00,healthcare,I am a cancer patient in need of financial help
187,2025-07-18 16:35:41,financial assistance,Is the CDA the same as the Baby Bonus?
188,2025-08-08 04:07:50,financial assistance,I am Child or Youth looking for Financial Assistance Programs that offers Financial Assistance
189,2025-08-18 13:35:50,elderly,I am Elderly (Senior) looking for Healthcare Services that offers Housing Assistance
190,2025-07-19 05:36:00,financial assistance,I have no fixed address now. I'm staying with a friend temporarily but I need financial assistance to cover my daily expense. Can I still apply?
191,2025-07-19 04:45:55,financial assistance,Is the Baby Bonus automatically given when the child is born?
192,2025-07-18 15:17:02,financial assistance,My utility bills are overdue. I lost my job a few weeks ago and can't pay.
193,2025-07-16 02:26:19,counselling and emotional support,stupid youth
194,2025-06-11 11:36:04,special needs,I am Person with Disabilities or Special Needs looking for Disability Support Services that offers Disability Support
195,2025-07-18 16:00:00,financial assistance,I just got retrenched after working for 20 years. I'm worried about paying for rent and food while I look for work.
196,2025-07-18 16:42:57,counselling and emotional support,Is there any support for ex-offenders trying to restart their lives?
197,2025-07-20 07:43:43,financial assistance,I am looking for scheme that offers Financial Assistance
198,2025-06-28 02:54:51,mental health,I am a 80 year old man who needs help paying my hospital bills. what schemes can help me pay my bills and provide support
199,2025-05-25 05:58:20,elderly,I am Elderly (Senior) looking for Shelter Services
200,2025-06-12 09:18:57,low income,can two persons in the same household apply for home caregiving grant?> 
201,2025-05-25 08:07:15,mental health,ค่าธรรมเนียมการศึกษา
202,2025-07-22 15:33:52,financial assistance,"I am in my 70s and I live alone, I don't have enough money for daily neccesities"
203,2025-08-20 11:53:24,counselling and emotional support,I am Low-Income Individual or Family looking for Addiction Recovery Services that offers Transport Mobility Support
204,2025-07-18 16:14:26,financial assistance,Can MediShield Life pay for my hospital bills?
205,2025-07-22 08:10:06,counselling and emotional support,I am Elderly (Senior) looking for Mental Health Support
206,2025-06-30 05:01:28,elderly,elderly client low finances needs caregiving support for sick spouse
207,2025-07-18 16:21:39,financial assistance,Can I use MediSave to pay for an MRI scan?
208,2025-07-08 05:49:17,elderly,active aging for 60 years old in woodlands
209,2025-06-13 04:53:02,low income,I need financial support
210,2025-06-08 13:34:22,low income,I am looking for scheme that offers Food Support
211,2025-06-11 03:58:10,low income,"i am a dialysis patient, and i don't have much income, i have no insurance, and my son who although has a high income also do not have much to save for his future housing needs"
212,2025-07-18 16:07:23,financial assistance,I just had a baby. I'm not sure what financial help there is for new parents.
213,2025-08-05 00:36:57,counselling and emotional support,I am Parent or Family Member looking for Transport Services that offers Employment Support
214,2025-05-20 07:44:42,elderly,I am Person with Disabilities or Special Needs looking for Healthcare Services that offers Healthcare Services
215,2025-05-20 06:25:59,family,I am Person with Disabilities or Special Needs looking for Shelter Services
216,2025-07-08 05:56:31,elderly,active aging for 60 year old in woodlands
217,2025-06-07 12:38:25,low income,I am Low-Income Individual or Family looking for Housing Assistance that offers Financial Assistance
218,2025-07-19 05:43:32,counselling and emotional support,My son has epilepsy and needs regular medical care. I'm a single mother with a monthly income of about $1.000
219,2025-06-19 07:45:01,elderly,hello
220,2025-06-19 08:35:08,children,student care centres for my 7 year old 
221,2025-05-27 04:01:46,family,Ex-inmate who is homeless and has mental illness
222,2025-07-22 09:07:36,counselling and emotional support,Mental health in toa payoh
223,2025-06-06 03:28:28,mental health,I am Parent or Family Member looking for Healthcare Services that offers Mental Health Support
224,2025-05-22 04:14:53,family,I am Experiencing Abuse or Violence looking for Shelter Services that offers Social Work Services
225,2025-08-03 15:34:15,counselling and emotional support,I am looking for Shelter Services
226,2025-06-11 05:38:32,low income,I am Low-Income Individual or Family looking for Education Programs that offers Education Opportunities
227,2025-07-19 05:07:48,elderly,I'm 65 with mobility issues and I live alone. My knees are bad and I can't get around easily. Is there any help?
228,2025-05-26 02:37:06,elderly,I am Elderly (Senior) looking for Financial Assistance Programs that offers Financial Assistance
229,2025-07-15 03:25:12,financial assistance,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Financial Assistance
230,2025-08-24 07:38:25,food support,I am looking for scheme that offers Food Support
231,2025-08-01 08:41:29,financial assistance,I am Parent or Family Member looking for Employment Assistance that offers Employment Support
232,2025-08-19 09:24:36,family,I am Woman in Need of Support looking for Family Support Services that offers Financial Assistance
233,2025-06-06 04:54:26,ex-offender,I am Ex-Offender or Incarcerated Individual requiring befriender
234,2025-06-11 02:32:30,low income,I am in need of scholarships but I don’t have the grades 
235,2025-07-19 05:57:59,elderly,I'm 72 and live alone. Are there places for seniors to go and make friends?
236,2025-06-17 13:45:26,elderly,Care Corner Counceling Centre
237,2025-06-26 05:49:29,family,crisis shelters
238,2025-06-03 00:54:38,homelessness support,Shelter for muslim male
239,2025-06-03 09:22:53,elderly,I am Elderly (Senior) looking for Healthcare Services that offers Financial Assistance because I have no insurance to pay for my hospital bills
240,2025-06-21 08:25:45,elderly,I am Elderly (Senior) looking for Financial Assistance Programs that offers Food Support
241,2025-07-19 04:46:26,family,"I'm 52 and divorced, living alone in a 1-room rental flat. My part-time job as a cleaner doesn't even cover my food and utilities some months. Is there any help for someone like me?"
242,2025-07-18 15:46:12,education support,My child is in a special education school and I’m struggling with the transport and school fees.
243,2025-07-18 15:31:53,family,I'm a mother of three living in a 3-room flat. My husband's income recently dropped and we're struggling. What support can we get?
244,2025-06-30 03:43:06,elderly,I am Elderly (Senior) looking for Mental Health Support that offers Caregiver Assistance
245,2025-07-06 02:45:52,low income,I am Low-Income Individual or Family looking for Shelter Services that offers Food Support
246,2025-07-18 09:41:08,financial assistance,I’m a 38-year-old single mother who recently lost my job as a retail assistant. I have two school-going children and no other source of income. Is there any financial assistance I can apply for?
247,2025-07-08 05:49:37,elderly,active aging for 70 year old in geyland
248,2025-07-20 09:17:19,counselling and emotional support,I am Caregiver looking for Mental Health Support that offers Education Opportunities
249,2025-07-19 05:15:07,financial assistance,My 6-year-old was recently diagnosed with autism. I'm working fewer hours now to care for him and transport to therapy is expensive.
250,2025-08-18 13:36:26,elderly,I am Elderly (Senior) looking for Healthcare Services that offers daycare
251,2025-06-19 08:28:11,low income,I am Low-Income Individual or Family looking for Food Support. milk powders for north area
252,2025-07-18 16:14:53,counselling and emotional support,I'm a young adult with special needs and want to attend training programmes. Is there any help?
253,2025-07-18 16:29:13,family,What help can young parents get to raise their children?
254,2025-06-27 07:07:09,special needs,My son has severe intellectual disability and I don't know where to go to for wills
255,2025-06-24 16:14:45,low income,employment 
256,2025-08-05 06:42:24,financial assistance,I am single Parent or Family Member looking for Financial Assistance Programs
257,2025-07-18 15:03:21,financial assistance,I'm a 45-year-old single man renting a 1-room flat. I was retrenched from my factory job last month and have no savings left to pay for food and utilities.
258,2025-05-15 04:01:58,mental health,I am Facing Mental Health Challenges. need free counselling sessions in toa payoh
259,2025-07-18 15:24:51,family,I lost my job two months ago. Now I'm renting a room with no savings left. Can I get help?
260,2025-07-19 05:22:23,financial assistance,I'm a PR. Can I apply for SkillsFuture Credit?
261,2025-05-12 14:42:38,low income,I am in need of financial support
262,2025-06-30 07:17:59,mental health,Im looking for addiction recovery'
263,2025-06-06 03:28:45,low income,I am a poor person who needs food
264,2025-07-20 07:44:23,education support,I am Child or Youth looking for Education Programs that offers Education Opportunities
265,2025-05-25 06:49:07,family,care corner 
266,2025-07-05 12:27:05,low income,Homeless man not working 
267,2025-08-20 06:17:36,financial assistance,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Financial Assistance
268,2025-05-15 04:09:14,mental health,"I have a client who is 40yo, emotional distress from marital relationships, difficulties in communicating and resolving conflicts with husband, and husband is not receptive to counselling but did attend a couple session with family service centre. risk is assessed to be low, but client may need some help in future for support. Please recommend a few options for mental health help."
269,2025-08-01 08:27:30,financial assistance,i need financial support/scholarship for my uni
270,2025-07-19 06:26:56,counselling and emotional support,What is the forecast in Singpaore now?
271,2025-06-17 03:08:40,mental health,"I have a client 38 years old, living in woodlands, who is experiencing emotional distress from a breakup in her extra marital relationship. As the risk is low and no other case goals at the point of enquiry, the case may be closed. May I know what other counselling services are available for her?"
272,2025-06-28 06:59:00,healthcare,i am a studnet with huge medical bills that i need to pay
273,2025-07-18 16:07:57,financial assistance,I need help paying for my dialysis treatments. My CPF is running low.
274,2025-05-25 08:07:58,education,学费
275,2025-06-28 06:23:13,low income,I am looking for scheme that offers Employment Support
276,2025-07-18 16:36:35,financial assistance,Do I have to pay first and then claim from CHAS?
277,2025-06-20 13:27:53,low income,i am a cancer patient in need of financial support and food
278,2025-07-02 08:13:01,low income,"I need assistance for outstanding arrears for utilities, phone bills, parking fines and car loan"
279,2025-06-02 00:41:50,family,I am In Need of Legal Aid
280,2025-05-18 05:45:58,low income,I am Low-Income Individual or Family looking for Financial Assistance Programs that offers Financial Assistance
281,2025-05-21 11:33:13,elderly,Hi 
282,2025-07-13 12:46:23,elderly,"Elderly in his 70s, homeless, have cardiac issues. Lack finances to support himself"
283,2025-06-19 08:28:31,family,I am Ex-Offender or Incarcerated Individual looking for Mental Health Support that offers Mental Health Support
284,2025-07-22 02:27:15,financial assistance,I am Low-Income Individual or Family looking for Food Support that offers Financial Assistance
285,2025-06-15 04:37:03,low income,I am Low-Income Individual or Family looking for Employment Assistance that offers Employment Support
286,2025-08-18 06:55:57,family,Hoarding 
287,2025-07-19 05:51:18,elderly,I'm a widower in my 70s and I don't really talk to anyone anymore. I feel very alone at home.
288,2025-05-22 04:15:27,family,I am Child or Youth looking for Employment Assistance that offers Employment Support
289,2025-07-18 15:10:50,education support,"I'm a 41-year-old father of three, earning low income from part-time delivery work. My kids are all in primary school and expenses are tight."
290,2025-05-25 05:23:29,mental health,care corner mental health
291,2025-07-16 03:17:23,family,i am homeless needing housing support
292,2025-07-27 16:04:36,financial assistance,I am 54 and my income is irregular and low. I don't think I have enough to retire. Are there any financial assistance schemes that can support me?
293,2025-08-02 03:40:12,financial assistance,Financial assistance
294,2025-05-25 06:49:25,mental health,I am looking for Mental Health Support care corner
295,2025-08-22 01:57:46,counselling and emotional support,information about crisis shelters in singapore
296,2025-05-15 04:02:20,elderly,Counselling support for 70 year old male senior living in toa payoh
297,2025-07-18 15:53:51,financial assistance,I can't afford to pay my hospital bills even after MediSave and subsidies. What can I do?
298,2025-06-24 13:23:22,low income,I am Parent or Family Member looking for Education Programs that offers Financial Assistance
299,2025-05-16 03:25:22,migrant workers/foreign workers,i am 35 year old and lost my job
300,2025-07-18 16:22:30,financial assistance,I'm a foreign worker in Singapore. Can I get help from ComCare?
301,2025-06-17 03:01:45,mental health,I am Low-Income Individual or Family looking for Mental Health Support
302,2025-07-22 08:18:10,counselling and emotional support,I am Elderly (Senior) looking for Social Work & Casework that offers Social Work Services
303,2025-07-05 02:11:48,mental health,Cancer
304,2025-05-26 23:30:28,mental health,I am Low-Income Individual or Family looking for Mental Health Support
305,2025-08-04 17:42:36,financial assistance,I am Low-Income Individual or Family looking for Employment Assistance that offers Financial Assistance
306,2025-05-25 11:07:12,healthcare,I need information on cancer financial assistance
